
6579    53, 8344, 8348
7696    53, 8344, 8353

8140   157,  344,  483
8395   157,  344, 7299

6426   168,   29,   31
6815   168,   29, 1111

7563   262,   37,  460
6471   262,   37,  477

18785   356,  156,  157
7996   356,  156,  344

8055   483,  344,  156
7823   483,  344,  157

8941   540,  126,   58
7739   540,  126, 3042

8965  4063, 4060,   92
6575  4063, 4060, 4054

6893  4410, 4406,  527
8698  4410, 4406,  549

6913  4416, 4414, 4410
12542  4416, 4414, 4413
